2022-06-07 15:19:44.645 INFO  [main][ModuleFrameworkImpl:408] Navigate to Control Panel > System > Gogo Shell and enter "lb" to see all bundles
2022-06-07 15:19:46.495 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.events.StartupHelperUtil#initResourceActions
2022-06-07 15:19:46.564 INFO  [main][LoggingTimer:44] Completed com.liferay.portal.events.StartupHelperUtil#initResourceActions in 69 ms
2022-06-07 15:20:00.585 WARN  [main][SidecarManager:111] Liferay automatically starts a child process of Elasticsearch named sidecar for convenient development and demonstration purposes. Do NOT use sidecar in production. Refer to the documentation for details on the limitations of sidecar and instructions on configuring a remote Elasticsearch connection in the Control Panel.
2022-06-07 15:20:34.046 INFO  [main][Sidecar:119] Sidecar Elasticsearch liferay started at 127.0.0.1:9201
2022-06-07 15:21:50.470 INFO  [main][StartupHelperUtil:109] There are no patches installed
2022-06-07 15:21:50.709 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.events.StartupHelperUtil#initResourceActions
2022-06-07 15:21:50.772 INFO  [main][LoggingTimer:44] Completed com.liferay.portal.events.StartupHelperUtil#initResourceActions in 63 ms
2022-06-07 15:21:52.652 INFO  [main][AutoDeployDir:206] Auto deploy scanner started for C:\liferay\liferay-ce-portal-7.3.7-ga8\deploy
2022-06-07 15:22:01.640 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for speedwell-theme is available for use
2022-06-07 15:22:03.438 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for admin-theme is available for use
2022-06-07 15:22:04.620 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for classic-theme is available for use
2022-06-07 15:22:05.628 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for minium-theme is available for use
2022-06-07 15:22:13.009 INFO  [main][SystemCheckOSGiCommands:59] System check is enabled. You can run a system check with the command "system:check" in Gogo shell.
2022-06-07 15:22:13.010 INFO  [main][SystemCheckOSGiCommands:71] Running system check
2022-06-07 15:22:13.011 INFO  [main][SystemCheckOSGiCommands:98] Available checkers :[Declarative Service Soft Circular Dependency Checker, Declarative Service Unsatisfied Component Checker, Spring Extender Unavailable Component Checker]
2022-06-07 15:22:13.011 INFO  [main][SystemCheckOSGiCommands:114] Running "Declarative Service Soft Circular Dependency Checker". You can run this by itself with command "ds:softCircularDependency" in gogo shell.
2022-06-07 15:22:20.400 INFO  [main][SystemCheckOSGiCommands:126] Declarative Service Soft Circular Dependency Checker check result: No issues were found.
2022-06-07 15:22:20.401 INFO  [main][SystemCheckOSGiCommands:114] Running "Declarative Service Unsatisfied Component Checker". You can run this by itself with command "ds:unsatisfied" in gogo shell.
2022-06-07 15:22:58.239 INFO  [main][SystemCheckOSGiCommands:126] Declarative Service Unsatisfied Component Checker check result: No issues were found.
2022-06-07 15:22:58.240 INFO  [main][SystemCheckOSGiCommands:114] Running "Spring Extender Unavailable Component Checker". You can run this by itself with command "dm na" in gogo shell.
2022-06-07 15:22:58.242 INFO  [main][SystemCheckOSGiCommands:126] Spring Extender Unavailable Component Checker check result: No issues were found.
2022-06-07 18:30:20.989 WARN  [HikariPool-1 housekeeper][HikariPool:686] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h34s9ms592µs600ns).
2022-06-07 18:30:30.079 WARN  [HikariPool-2 housekeeper][HikariPool:686] HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h34s1ms43µs500ns).
2022-06-07 20:03:52.365 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:04:02.609 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:04:03.366 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:05:55.373 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:06:04.613 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:06:04.943 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:08:38.906 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:08:46.241 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:08:46.591 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:10:42.853 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:10:48.071 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:10:48.511 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
